item_id,agenda_item_title,found_data_sheet,application_number,applicant,agent,architect,owner,matched_dev_applications_row,dev_app_street
2025.NY21.3,2810 - 2816 Bayview Avenue - Official Plan Amendment and Zoning By-law Amendment - Decision Report - Approval,True,24 185488 NNY 18 OZ,A-O BAYVIEW INC,,,A-O BAYVIEW INC,True,2810 BAYVIEW AVE
2025.NY22.1,1 Broadlands Boulevard - Zoning By-law Amendment Application- Decision Report - Approval,True,24 164540 NNY 16 OZ,THE PLANNING AGENCY LIMITED,,,12723638 CANADA LTD.,True,1 BROADLANDS BLVD
2025.NY25.6,2674-2704 Yonge Street and 19 Alexandra Boulevard - Official Plan Amendment and Zoning By-law Amendment - Decision Report - Approval,True,25 120999 NNY 08 OZ,19 ALEXANDRA INC,,,2704 YONGE ST,True,2678 YONGE ST
2025.NY25.8,1410 Eglinton Avenue West - Zoning By-law Amendment - Appeal Report,True,24 222025 NNY 08 OZ,MHBC PLANNING,,,STARBANK DEVELOPMENTS 1416 CORP,True,1410 EGLINTON AVE
2025.PH18.16,"3100 Weston Road - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",False,,,,,,False,
2025.PH18.4,Expanding Housing Options in Neighbourhoods - Ward 23 Multiplex Study - Official Plan and Zoning By-law Amendments - Decision Report - Approval,False,,,,,,False,
2025.PH18.5,Housing Action Plan: Avenues Policy Review - Decision Report,False,,,,,,False,
2025.PH18.6,Progress on Building More Supportive Homes,False,,,,,,False,
2025.PH19.10,Replacement Units for Demovicted Dwelling Room Tenants,False,,,,,,False,
2025.PH20.1,7-9 Wardlaw Crescent - City-Initiated Zoning By-law Amendment - Decision Report - Approval,True,,City Initiated,City Initiated,Montgomery Sisam Architects Inc.,City of Toronto,False,
2025.PH20.2,Implementation Guidelines for Rental Replacement,False,,,,,,False,
2025.PH20.4,1 Dundas Street East: Amendments to the Sign By-law,False,,,,,,False,
2025.PH20.7,Toronto's Academic Housing Strategy - Improving Housing Outcomes for Post-Secondary Students,False,,,,,,False,
2025.PH21.1,Official Plan Amendments to Align with Provincial Legislative and Policy Changes Related to Employment Areas - Decision Report,False,,,,,,False,
2025.PH21.3,Development Application Fee Review,False,,,,,,False,
2025.PH21.4,Toronto Builds - A Policy Framework to Build More Affordable Rental Homes on Public Land,False,,,,,,False,
2025.PH22.3,Expanding Housing Options in Neighbourhoods - Multiplex - Monitoring Program - Final Report,False,,,,,,False,
2025.PH22.4,Housing Accelerator Fund: Expanding Permissions in Neighbourhoods for Low-Rise Sixplexes - Final Report,False,,,,,,False,
2025.PH22.5,Housing Accelerator Fund: Apartment Infill Study - Residential Infill Report,False,,,,,,False,
2025.PH22.8,Housing Action Plan: Avenues Policy Review - Phase Two Work Plan,False,,,,,,False,
2025.PH23.1,Expanding Housing Options in Neighbourhoods - Garden Suites Monitoring Program - Final Report,False,,,,,,False,
2025.PH23.14,City Foundation Drainage Policy,False,,,,,,False,
2025.PH23.3,Advancing Six Sites for the Homelessness Services Capital Infrastructure Strategy (HSCIS) - City-Initiated Official Plan Amendment and Six Zoning By-law Amendments - Decision Report - Approval,True,,City of Toronto,,Workshop,City of Toronto,False,
2025.PH23.5,From Concept to Construction: Creating More Homes Across the Housing Continuum,False,,,,,,False,
2025.PH23.6,Missing Middle and Midrise Housing Implementation Initiative,False,,,,,,False,
2025.PH24.5,2 College Street - Area-Specific Amendment to the Sign By-law,False,,,,,,False,
2025.PH25.3,Community Within Reach: Expanding Housing Options in Neighbourhoods (EHON) Neighbourhood Retail and Services Study - Phase Three Final Report,False,,,,,,False,
2025.PH25.4,2024-2025 Annual Progress Report - HousingTO 2020-2030 Action Plan and Housing Action Plan (2022-2026),False,,,,,,False,
2025.PH26.10,Permanent Closure of a Portion of the Public Laneway at 66-66Y Third Street,False,,,,,,False,
2025.PH26.17,444 Logan Avenue - Making Quality of Life and Environmental Improvements for Seniors,False,,,,,,False,
2025.PH26.4,Housing Action Plan: Avenues Policy Review Phase Two: Initial Study of Wards 9 and 11,False,,,,,,False,
2025.PH26.8,Tenancy Update with Beech Hall Housing Co-operative and Alexandra Park Housing Co-operative,False,,,,,,False,
2025.SC20.1,2759 and 2761 to 2763 Kingston Road and 52 St Quentin Avenue - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,True,22 219770 ESC 20 OZ,FOTENN PLANNING & DESIGN,,,AROMA II INC,True,52 ST QUENTIN AVE
2025.SC23.1,"2823, 2825, 2827 and 2829 Eglinton Avenue East - Zoning By-law Amendment - Decision Report - Approval",True,22 139337 ESC 20 OZ,BOUSFIELDS INC,,,2872136 ONTARIO INC,True,2823 EGLINTON AVE
2025.SC23.2,672 to 676 Birchmount Road - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval,True,20 224482 ESC 20 OZ,BIRCHMOUNT BIRCH PROPERTIES,,,BIRCHMOUNT BIRCH PROPERTIES INC,True,672 BIRCHMOUNT RD
2025.SC23.4,62 Orchard Park Drive - Zoning By-law Amendment Application - Decision Report - Approval,True,,SHS Consulting Club,,Hilditch Architect Inc.,East Scarborough Boys & Girls,False,
2025.SC24.1,4610 Finch Avenue East - Zoning By-law Amendment Application - Decision Report - Approval,True,24 170605 ESC 23 OZ,MONTGOMERY SISAM ARCHITECTS INC,,,CIT OF TORONTO,True,4610 FINCH AVE
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",False,,,,,,False,
2025.TE21.9,111 Peter Street - Zoning By-law Amendment Application - Decision Report - Approval,True,24 243620 STE 10 OZ,Capital Developments,Capital Developments,WZMH Architects,Industrial Alliance Ins & Financial Services Inc,True,111 PETER ST
2025.TE23.3,604-610 Bay Street and 130 Elizabeth Street - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,True,25 133694 STE 11 OZ,Kilmer-Tricon,,,City of Toronto,True,604 BAY ST
2026.CC36.10,353 to 355 Sherbourne Street and 157 Carlton Street - Alterations to a Designated Heritage Property under Section 42 of the Ontario Heritage Act and Authority to Enter into a Heritage Easement Agreement,False,,,,,,False,
2026.CC39.10,895 Lawrence Avenue East - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
